01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2009,Alvaiázere,Município,Básico - 1º Ciclo,,,,,33.3
2009,Alvaiázere,Município,Básico - 2º Ciclo,,,,,100.0
2009,Alvaiázere,Município,Básico - 3º Ciclo e secundário,,,,,85.7
2009,Alvaiázere,Município,Educação Pré-Escolar,,,,-,
2009,Alvito,Município,Básico - 1º Ciclo,,,,,100.0
2009,Alvito,Município,Básico - 2º Ciclo,,,,,25.0
2009,Alvito,Município,Básico - 3º Ciclo e secundário,,,,-,
2009,Alvito,Município,Educação Pré-Escolar,,,,,100.0
2009,Amadora,Município,Básico - 1º Ciclo,,,,,38.7
2009,Amadora,Município,Básico - 2º Ciclo,,,,,161.5
2009,Amadora,Município,Básico - 3º Ciclo e secundário,,,,,167.6
2009,Amadora,Município,Educação Pré-Escolar,,,,,51.4
2009,Amarante,Município,Básico - 1º Ciclo,,,,,98.2
2009,Amarante,Município,Básico - 2º Ciclo,,,,,122.2
2009,Amarante,Município,Básico - 3º Ciclo e secundário,,,,,37.8
2009,Amarante,Município,Educação Pré-Escolar,,,,,70.0
2009,Amares,Município,Básico - 1º Ciclo,,,,,133.3
2009,Amares,Município,Básico - 2º Ciclo,,,,,200.0
2009,Amares,Município,Básico - 3º Ciclo e secundário,,,,,33.3
2009,Amares,Município,Educação Pré-Escolar,,,,,266.7
2009,Anadia,Município,Básico - 1º Ciclo,,,,,131.8
2009,Anadia,Município,Básico - 2º Ciclo,,,,,280.0
2009,Anadia,Município,Básico - 3º Ciclo e secundário,,,,,126.7
2009,Anadia,Município,Educação Pré-Escolar,,,,,100.0
2009,Angra do Heroísmo,Município,Básico - 1º Ciclo,,,,x,
2009,Angra do Heroísmo,Município,Básico - 2º Ciclo,,,,x,
2009,Angra do Heroísmo,Município,Básico - 3º Ciclo e secundário,,,,x,
2009,Angra do Heroísmo,Município,Educação Pré-Escolar,,,,x,
2009,Ansião,Município,Básico - 1º Ciclo,,,,,81.8
2009,Ansião,Município,Básico - 2º Ciclo,,,,,320.0
2009,Ansião,Município,Básico - 3º Ciclo e secundário,,,,,45.5
2009,Ansião,Município,Educação Pré-Escolar,,,,,75.0
2009,Arcos de Valdevez,Município,Básico - 1º Ciclo,,,,,173.3
2009,Arcos de Valdevez,Município,Básico - 2º Ciclo,,,,,228.6
2009,Arcos de Valdevez,Município,Básico - 3º Ciclo e secundário,,,,,69.7
2009,Arcos de Valdevez,Município,Educação Pré-Escolar,,,,,60.0
2009,Arganil,Município,Básico - 1º Ciclo,,,,,100.0
2009,Arganil,Município,Básico - 2º Ciclo,,,,,63.6
2009,Arganil,Município,Básico - 3º Ciclo e secundário,,,,,47.2
2009,Arganil,Município,Educação Pré-Escolar,,,,,20.0
2009,Armamar,Município,Básico - 1º Ciclo,,,,,166.7
2009,Armamar,Município,Básico - 2º Ciclo,,,,,114.3
2009,Armamar,Município,Básico - 3º Ciclo e secundário,,,,-,
2009,Armamar,Município,Educação Pré-Escolar,,,,,300.0
2009,Arouca,Município,Básico - 1º Ciclo,,,,,48.6
2009,Arouca,Município,Básico - 2º Ciclo,,,,,52.9
2009,Arouca,Município,Básico - 3º Ciclo e secundário,,,,,22.5
2009,Arouca,Município,Educação Pré-Escolar,,,,,140.0
2009,Arraiolos,Município,Básico - 1º Ciclo,,,,,150.0
2009,Arraiolos,Município,Básico - 2º Ciclo,,,,,500.0
2009,Arraiolos,Município,Básico - 3º Ciclo e secundário,,,,,29.6
2009,Arraiolos,Município,Educação Pré-Escolar,,,,,150.0
2009,Arronches,Município,Básico - 1º Ciclo,,,,,33.3
2009,Arronches,Município,Básico - 2º Ciclo,,,,,400.0
2009,Arronches,Município,Básico - 3º Ciclo e secundário,,,,,10.0
2009,Arronches,Município,Educação Pré-Escolar,,,,,100.0
2009,Arruda dos Vinhos,Município,Básico - 1º Ciclo,,,,,23.8
2009,Arruda dos Vinhos,Município,Básico - 2º Ciclo,,,,,111.1
2009,Arruda dos Vinhos,Município,Básico - 3º Ciclo e secundário,,,,,46.7
2009,Arruda dos Vinhos,Município,Educação Pré-Escolar,,,,,16.7
2009,Aveiro,Município,Básico - 1º Ciclo,,,,,134.6
2009,Aveiro,Município,Básico - 2º Ciclo,,,,,182.1
2009,Aveiro,Município,Básico - 3º Ciclo e secundário,,,,,123.7
2009,Aveiro,Município,Educação Pré-Escolar,,,,,65.9
2009,Avis,Município,Básico - 1º Ciclo,,,,,33.3
2009,Avis,Município,Básico - 2º Ciclo,,,,,25.0
2009,Avis,Município,Básico - 3º Ciclo e secundário,,,,,18.2
2009,Avis,Município,Educação Pré-Escolar,,,,-,
2009,Azambuja,Município,Básico - 1º Ciclo,,,,,87.5
2009,Azambuja,Município,Básico - 2º Ciclo,,,,,109.1
2009,Azambuja,Município,Básico - 3º Ciclo e secundário,,,,,34.1
2009,Azambuja,Município,Educação Pré-Escolar,,,,-,
2009,Baião,Município,Básico - 1º Ciclo,,,,,52.0
2009,Baião,Município,Básico - 2º Ciclo,,,,,45.8
2009,Baião,Município,Básico - 3º Ciclo e secundário,,,,,5.1
2009,Baião,Município,Educação Pré-Escolar,,,,,28.6
2009,Barcelos,Município,Básico - 1º Ciclo,,,,,81.7
2009,Barcelos,Município,Básico - 2º Ciclo,,,,,129.2
2009,Barcelos,Município,Básico - 3º Ciclo e secundário,,,,,48.1
2009,Barcelos,Município,Educação Pré-Escolar,,,,,103.2
2009,Barrancos,Município,Básico - 1º Ciclo,,,,,100.0
2009,Barrancos,Município,Básico - 2º Ciclo,,,,-,
2009,Barrancos,Município,Básico - 3º Ciclo e secundário,,,,,16.7
2009,Barrancos,Município,Educação Pré-Escolar,,,,-,
2009,Barreiro,Município,Básico - 1º Ciclo,,,,,46.0
2009,Barreiro,Município,Básico - 2º Ciclo,,,,,149.2
2009,Barreiro,Município,Básico - 3º Ciclo e secundário,,,,,177.2
2009,Barreiro,Município,Educação Pré-Escolar,,,,,60.0
2009,Batalha,Município,Básico - 1º Ciclo,,,,,123.1
2009,Batalha,Município,Básico - 2º Ciclo,,,,,125.0
2009,Batalha,Município,Básico - 3º Ciclo e secundário,,,,,37.8
2009,Batalha,Município,Educação Pré-Escolar,,,,,250.0
2009,Beja,Município,Básico - 1º Ciclo,,,,,127.3
2009,Beja,Município,Básico - 2º Ciclo,,,,,162.5
2009,Beja,Município,Básico - 3º Ciclo e secundário,,,,,111.0
2009,Beja,Município,Educação Pré-Escolar,,,,,46.2
2009,Belmonte,Município,Básico - 1º Ciclo,,,,-,
2009,Belmonte,Município,Básico - 2º Ciclo,,,,,100.0
2009,Belmonte,Município,Básico - 3º Ciclo e secundário,,,,,137.5
2009,Belmonte,Município,Educação Pré-Escolar,,,,,200.0
2009,Benavente,Município,Básico - 1º Ciclo,,,,,65.4
2009,Benavente,Município,Básico - 2º Ciclo,,,,,50.0
2009,Benavente,Município,Básico - 3º Ciclo e secundário,,,,,44.2
2009,Benavente,Município,Educação Pré-Escolar,,,,,116.7
2009,Bombarral,Município,Básico - 1º Ciclo,,,,,166.7
2009,Bombarral,Município,Básico - 2º Ciclo,,,,,125.0
2009,Bombarral,Município,Básico - 3º Ciclo e secundário,,,,,62.9
2009,Bombarral,Município,Educação Pré-Escolar,,,,,200.0
2009,Borba,Município,Básico - 1º Ciclo,,,,,166.7
2009,Borba,Município,Básico - 2º Ciclo,,,,,160.0
2009,Borba,Município,Básico - 3º Ciclo e secundário,,,,,35.7
2009,Borba,Município,Educação Pré-Escolar,,,,,200.0
2009,Boticas,Município,Básico - 1º Ciclo,,,,-,
2009,Boticas,Município,Básico - 2º Ciclo,,,,,500.0
