01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2009,Portugal,,Cursos gerais,11º ano,,,x,
2009,Portugal,,Cursos gerais,12º ano,,,x,
2009,Portugal,,Cursos gerais,Total,,,x,
2009,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,,,x,
2009,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,,,x,
2009,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,,,x,
2009,Portugal,,Cursos Tecnológicos e Profissionais,Total,,,x,
2009,Portugal,,Total,10º ano,,,x,
2009,Portugal,,Total,11º ano,,,x,
2009,Portugal,,Total,12º ano,,,x,
2009,Portugal,,Total,Total,,,x,
2010,Portugal,,Cursos gerais,10º ano,,,,18.8
2010,Portugal,,Cursos gerais,11º ano,,,,12.4
2010,Portugal,,Cursos gerais,12º ano,,,,33.2
2010,Portugal,,Cursos gerais,Total,,,,21.1
2010,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,,,,17.6
2010,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,,,,7.1
2010,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,,,,25.3
2010,Portugal,,Cursos Tecnológicos e Profissionais,Total,,,,16.3
2010,Portugal,,Total,10º ano,,,,18.3
2010,Portugal,,Total,11º ano,,,,10.4
2010,Portugal,,Total,12º ano,,,,30.4
2010,Portugal,,Total,Total,,,,19.3
2011,Portugal,,Cursos gerais,10º ano,,,,18.0
2011,Portugal,,Cursos gerais,11º ano,,,,13.2
2011,Portugal,,Cursos gerais,12º ano,,,,36.8
2011,Portugal,,Cursos gerais,Total,,,,22.3
2011,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,,,,18.0
2011,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,,,,7.4
2011,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,,,,30.1
2011,Portugal,,Cursos Tecnológicos e Profissionais,Total,,,,18.4
2011,Portugal,,Total,10º ano,,,,18.0
2011,Portugal,,Total,11º ano,,,,11.0
